DateTime,Heat_watts
08/31/2010 18:15:00,10301405.480
08/31/2010 18:30:00,10288254.750
08/31/2010 18:45:00,10279487.596
08/31/2010 19:00:00,10266336.866
08/31/2010 19:15:00,10235651.828
08/31/2010 19:30:00,10204966.790
08/31/2010 19:45:00,10174281.753
08/31/2010 20:00:00,10130445.985
08/31/2010 20:15:00,10099760.947
08/31/2010 20:30:00,10069075.910
08/31/2010 20:45:00,10025240.142
08/31/2010 21:00:00,9920034.298
08/31/2010 21:15:00,9775376.264
08/31/2010 21:30:00,9678937.574
08/31/2010 21:45:00,9617567.499
08/31/2010 22:00:00,9564964.578
08/31/2010 22:15:00,9503594.502
08/31/2010 22:30:00,9437840.850
08/31/2010 22:45:00,9385237.929
08/31/2010 23:00:00,9345785.738
08/31/2010 23:15:00,9301949.970
08/31/2010 23:30:00,9262497.778
08/31/2010 23:45:00,9231812.741
09/01/2010 00:00:00,9187976.973
09/01/2010 00:15:00,9166059.089
09/01/2010 00:30:00,9179209.819
09/01/2010 00:45:00,9166059.089
09/01/2010 01:00:00,9135374.051
09/01/2010 01:15:00,9095921.860
09/01/2010 01:30:00,9052086.092
09/01/2010 01:45:00,9012633.901
09/01/2010 02:00:00,8735067.341
09/01/2010 02:15:00,8938113.095
09/01/2010 02:30:00,8666824.627
09/01/2010 02:45:00,8863592.290
09/01/2010 03:00:00,8810989.368
09/01/2010 03:15:00,8771537.177
09/01/2010 03:30:00,8504748.182
09/01/2010 03:45:00,8697016.371
09/01/2010 04:00:00,8666331.334
09/01/2010 04:15:00,8423709.960
09/01/2010 04:30:00,8402384.112
09/01/2010 04:45:00,8372527.925
09/01/2010 05:00:00,8342671.738
09/01/2010 05:15:00,8308550.381
09/01/2010 05:30:00,8278694.194
09/01/2010 05:45:00,8240307.667
09/01/2010 06:00:00,8218981.819
09/01/2010 06:15:00,8197655.971
09/01/2010 06:30:00,7714059.837
09/01/2010 06:45:00,7467681.022
09/01/2010 07:00:00,7665721.081
09/01/2010 07:15:00,8099557.070
09/01/2010 07:30:00,8078231.222
09/01/2010 07:45:00,8056905.374
09/01/2010 08:00:00,8048375.035
09/01/2010 08:15:00,8056905.374
09/01/2010 08:30:00,7609325.866
09/01/2010 08:45:00,7617382.325
09/01/2010 09:00:00,7405124.532
09/01/2010 09:15:00,8129413.258
09/01/2010 09:30:00,8425234.610
09/01/2010 09:45:00,8561125.490
09/01/2010 10:00:00,8666331.334
09/01/2010 10:15:00,8740852.139
09/01/2010 10:30:00,8802222.214
09/01/2010 10:45:00,8885510.174
09/01/2010 11:00:00,8968798.133
09/01/2010 11:15:00,9043318.938
09/01/2010 11:30:00,9113456.167
09/01/2010 11:45:00,9249347.048
09/01/2010 12:00:00,9481676.618
09/01/2010 12:15:00,9762225.534
09/01/2010 12:30:00,10055925.179
09/01/2010 12:45:00,10375926.286
09/01/2010 13:00:00,10608255.856
09/01/2010 13:15:00,10722228.853
09/01/2010 13:30:00,10840585.426
09/01/2010 13:45:00,10967709.154
09/01/2010 14:00:00,11059764.266
09/01/2010 14:15:00,11125517.918
09/01/2010 14:30:00,11178120.840
09/01/2010 14:45:00,11178120.840
09/01/2010 15:00:00,11103600.034
09/01/2010 15:15:00,11042229.959
09/01/2010 15:30:00,10976476.307
09/01/2010 15:45:00,10880037.618
09/01/2010 16:00:00,10805516.812
09/01/2010 16:15:00,10730996.006
09/01/2010 16:30:00,10625790.163
09/01/2010 16:45:00,10520584.320
09/01/2010 17:00:00,10467981.398
09/01/2010 17:15:00,10459214.245
09/01/2010 17:30:00,10467981.398
09/01/2010 17:45:00,10467981.398
09/01/2010 18:00:00,10459214.245
09/01/2010 18:15:00,10437296.361
09/01/2010 18:30:00,10406611.323
09/01/2010 18:45:00,10354008.402
09/01/2010 19:00:00,10310172.634
09/01/2010 19:15:00,10257569.712
09/01/2010 19:30:00,10196199.637
09/01/2010 19:45:00,10121678.831
09/01/2010 20:00:00,10069075.910
09/01/2010 20:15:00,9994555.104
09/01/2010 20:30:00,9933185.029
09/01/2010 20:45:00,9880582.107
09/01/2010 21:00:00,9827979.186
09/01/2010 21:15:00,9797294.148
09/01/2010 21:30:00,9806061.302
09/01/2010 21:45:00,9806061.302
09/01/2010 22:00:00,9775376.264
09/01/2010 22:15:00,9731540.496
09/01/2010 22:30:00,9700855.458
09/01/2010 22:45:00,9657019.690
09/01/2010 23:00:00,9595649.615
09/01/2010 23:15:00,9543046.694
09/01/2010 23:30:00,9512361.656
09/01/2010 23:45:00,9490443.772
09/02/2010 00:00:00,9459758.734
09/02/2010 00:15:00,9429073.697
09/02/2010 00:30:00,9407155.813
09/02/2010 00:45:00,9367703.622
09/02/2010 01:00:00,9323867.854
09/02/2010 01:15:00,9271264.932
09/02/2010 01:30:00,9240579.894
