"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin"
"468",1128.5,14442623.5552,16477623.5552,100840.932058,605045.592348,645381.9651712,554625.126319,596947.5483
"469",1129,14493095.2497,16528095.2497,101062.553629,606375.321774,646800.3432256,555844.0449595,598282.090500001
"470",1129.5,14543676.0746,16578676.0746,101254.795739,607528.774434,648030.6927296,556901.3765645,599616.3861
"471",1130,14594353.5141,16629353.5141,101477.267989,608863.607934,649454.5151296,558124.9739395,600949.0219
"472",1130.5,14645137.2698,16680137.2698,101703.973143,610223.838858,650905.4281152,559371.8522865,602283.7948
"473",1131,14696039.588,16731039.588,101926.941828,611561.650968,652332.4276992,560598.180054,603610.340299999
"474",1131.5,14747053.1205,16782053.1205,102120.593042,612723.558252,653571.7954688,561663.261731,604931.1121
"475",1132,14798163.2633,16833163.2633,102349.993333,614099.959998,655039.9573312,562924.9633315,606242.738599999
"476",1132.5,14849388.4966,16884388.4966,102544.430029,615266.580174,656284.3521856,563994.3651595,607547.751800001
"477",1133,14900711.0277,16935711.0277,102784.161176,616704.967056,657818.6315264,565312.886468,608834.6183
"478",1133.5,14952154.5607,16987154.5607,102983.935735,617903.61441,659097.188704,566411.6465425,610140.784699999
"479",1134,15003688.7923,17038688.7923,103188.82688,619132.96128,660408.492032,567538.54784,611427.941100001
"480",1134.5,15055351.3295,17090351.3295,103426.221726,620557.330356,661927.8190464,568844.219493,612727.774300002
"481",1135,15107118.9739,17142118.9739,103670.290905,622021.74543,663489.861792,570186.5999775,614023.724199999
"482",1135.5,15159012.9738,17194012.9738,104284.726338,625708.358028,667422.2485632,573565.994859,615336.8992
"483",1136,15211315.5726,17246315.5726,104815.910237,628895.461422,670821.8255168,576487.5063035,616962.058499999
"484",1136.5,15263817.5683,17298817.5683,105182.988367,631097.930202,673171.1255488,578506.4360185,618680.2985
"485",1137,15316471.2952,17351471.2952,105460.398235,632762.38941,674946.548704,580032.1902925,620431.7072
"486",1137.5,15369288.2865,17404288.2865,105757.998597,634547.991582,676851.1910208,581668.9922835,622235.165999999
"487",1138,15422233.171,17457233.171,106073.211346,636439.268076,678868.5526144,583402.662403,624069.9077
"488",1138.5,15475338.0991,17510338.0991,106345.387856,638072.327136,680610.4822784,584899.633208,625949.602499999
"489",1139,15528574.4049,17563574.4049,106649.22394,639895.34364,682555.033216,586570.73167,627863.3772
"490",1139.5,15581958.2837,17616958.2837,106878.598919,641271.593514,684023.0330816,587832.2940545,629803.723000001
"491",1140,15635449.3987,17670449.3987,107119.538279,642717.229674,685565.0449856,589157.4605345,631760.6064
"492",1140.5,15689102.627,17724102.627,107440.358998,644642.153988,687618.2975872,590921.974489,633751.297499999
"493",1141,15742879.3814,17777879.3814,107706.705134,646240.230804,689322.9128576,592386.878237,635760.407500001
"494",1141.5,15796788.6397,17831788.6397,107924.46806,647546.80836,690716.595584,593584.57433,637775.665899999
"495",1142,15850807.8604,17885807.8604,108202.970678,649217.824068,692499.0123392,595116.338729,639492.287800001
"496",1142.5,15904969.4008,17939969.4008,108439.693394,650638.160364,694014.0377216,596418.313667,641151.832500001
"497",1143,15959245.8692,17994245.8692,108713.037038,652278.222228,695763.4370432,597921.703709,642774.574000001
"498",1143.5,16013645.5873,18048645.5873,108922.239126,653533.434756,697102.3304064,599072.315193,644357.300800001
"499",1144,16068161.4319,18103161.4319,109197.800411,655186.802466,698865.9226304,600587.9022605,645928.2609
"500",1144.5,16122822.0083,18157822.0083,109439.029502,656634.177012,700409.7888128,601914.662261,647483.909200002
"501",1145,16177600.8697,18212600.8697,109719.218455,658315.31073,702202.998112,603455.7015025,649026.4648
"502",1145.5,16232520.5802,18267520.5802,109952.862981,659717.177886,703698.3230784,604740.7463955,650562.296499999
"503",1146,16287557.66,18322557.66,110242.033605,661452.20163,705549.015072,606331.1848275,652108.261299999
"504",1146.5,16342736.1664,18377736.1664,110505.880967,663035.285802,707237.6381888,607782.3453185,653633.5394
"505",1147,16398050.2093,18433050.2093,110789.935828,664739.614968,709055.5892992,609344.647054,655170.8279
"506",1147.5,16453505.4476,18488505.4476,111023.090087,666138.540522,710547.7765568,610626.9954785,656716.8079
"507",1148,16509077.2315,18544077.2315,111305.982014,667835.892084,712358.2848896,612182.901077,658269.371099999
"508",1148.5,16564795.916,18599795.916,111557.380729,669344.284374,713967.2366656,613565.5940095,659826.515199998
"509",1149,16620634.9511,18655634.9511,111838.762519,671032.575114,715768.0801216,615113.1938545,661389.081899999
