Date,Elevation (feet),Storage (af),Evaporation (af),Inflow** (cfs),Unregulated Inflow*** (cfs),Power Release (cfs),Bypass Release (cfs),Spillway Release (cfs),Total Release (cfs),
14-May-64,3395.9,605100,60,6787,8950,0, , ,1000, 
15-May-64,3396.4,617800,61,7957,9644,0, , ,990, 
16-May-64,3397,633000,62,9324,12109,0, , ,990, 
17-May-64,3397.5,645800,63,9938,11643,0, , ,990, 
18-May-64,3398.5,671400,65,14810,17682,0, , ,990, 
19-May-64,3399.9,707700,67,20166,23474,0, , ,1000, 
20-May-64,3401.7,754900,70,25291,29596,0, , ,1000, 
21-May-64,3404,816100,74,30988,35110,0, , ,1010, 
22-May-64,3406.7,889400,79,36592,41840,0, , ,1010, 
23-May-64,3409.6,969700,84,40856,46691,0, , ,1020, 
24-May-64,3413,1065900,89,47062,51977,0, , ,1020, 
25-May-64,3416.2,1158600,95,47940,52086,0, , ,1030, 
26-May-64,3419.4,1253400,100,49601,55565,0, , ,1040, 
27-May-64,3422.6,1350300,107,49961,57167,0, , ,1040, 
28-May-64,3425.8,1449500,113,50766,58542,0, , ,1030, 
29-May-64,3429,1551200,120,52185,60099,0, , ,1000, 
30-May-64,3432,1648600,127,51184,60490,0, , ,1010, 
31-May-64,3434.7,1738100,132,46683,54981,0, , ,1010, 
1-Jun-64,3436.8,1808900,254,41118,50585,0, , ,1020, 
2-Jun-64,3438.7,1873900,260,36699,45247,0, , ,1030, 
3-Jun-64,3440.3,1929200,266,32355,40777,0, , ,1030, 
